number,state,mergedAt,createdAt,title,additions,deletions,changedFiles,url
626,MERGED,2026-03-23T07:46:02Z,2026-03-23T06:48:30Z,"[Fix][Bench] Fix nightly report: broken summary, formatting, missing baselines",128,94,4,https://github.com/tile-ai/TileOPs/pull/626
623,MERGED,2026-03-23T07:46:51Z,2026-03-23T02:58:46Z,[Fix][Bench] Add torch SDPA fallback baseline when FA3 is missing,146,2,4,https://github.com/tile-ai/TileOPs/pull/623
621,MERGED,2026-03-21T09:11:31Z,2026-03-21T03:31:57Z,[Chore] Standardize benchmark format rules and add Claude enforcement,38,8,3,https://github.com/tile-ai/TileOPs/pull/621
620,MERGED,2026-03-23T01:52:37Z,2026-03-21T03:15:06Z,"[CI] Add Op-level nightly report with correctness, performance, and regression tracking",878,197,56,https://github.com/tile-ai/TileOPs/pull/620
602,MERGED,2026-03-19T10:59:54Z,2026-03-19T10:23:04Z,[Chore] Codify lru_cache builder rule into DEVELOPMENT.md and .claude/rules,1,0,1,https://github.com/tile-ai/TileOPs/pull/602
600,MERGED,2026-03-19T12:32:24Z,2026-03-19T09:59:57Z,[Perf] Add lru_cache to remaining 40 builder functions,117,0,40,https://github.com/tile-ai/TileOPs/pull/600
597,MERGED,2026-03-19T08:57:24Z,2026-03-19T08:41:59Z,"[Perf] Add lru_cache to builder functions (gated_deltanet, flash_attn, flash_decode)",32,0,11,https://github.com/tile-ai/TileOPs/pull/597
592,MERGED,2026-03-19T07:25:46Z,2026-03-19T06:20:11Z,[Refactor][LinearAttn] Rename files to match DEVELOPMENT.md convention,45,47,30,https://github.com/tile-ai/TileOPs/pull/592
564,MERGED,2026-03-18T05:36:31Z,2026-03-18T03:51:23Z,[Fix][MoE] Lower small-batch expert threshold to prevent JIT hang,4,1,1,https://github.com/tile-ai/TileOPs/pull/564
554,MERGED,2026-03-17T14:16:55Z,2026-03-17T11:34:08Z,[Feat][GLA] Add GLA decode kernel,961,1,7,https://github.com/tile-ai/TileOPs/pull/554
548,MERGED,2026-03-17T08:36:37Z,2026-03-17T07:34:46Z,"[BugFix][CI] Fix warmup error handling, monkeypatch cleanup, and portable cache paths",32,20,3,https://github.com/tile-ai/TileOPs/pull/548
542,MERGED,2026-03-17T07:25:12Z,2026-03-17T03:36:44Z,[CI] Separate kernel compilation from profiling and parallelize compilation in nightly,315,5,5,https://github.com/tile-ai/TileOPs/pull/542
534,MERGED,2026-03-16T13:07:55Z,2026-03-16T10:22:26Z,[Feat][Linear-Attn] Add GLA forward and backward operators,2136,0,10,https://github.com/tile-ai/TileOPs/pull/534
528,MERGED,2026-03-16T05:01:50Z,2026-03-16T03:44:26Z,[BugFix][Benchmark] Remove redundant gated deltanet benchmarks and add fla fallback,136,509,3,https://github.com/tile-ai/TileOPs/pull/528
520,MERGED,2026-03-15T11:11:50Z,2026-03-15T10:45:31Z,[Fix][MHC] Fix MHC pre auto-tuning: sigmoid serialization and scalar params,50,11,2,https://github.com/tile-ai/TileOPs/pull/520
518,MERGED,2026-03-15T11:06:14Z,2026-03-15T10:01:09Z,[Fix][MHA] Fix MHA decode auto-tuning failure for scalar params,39,3,2,https://github.com/tile-ai/TileOPs/pull/518
514,CLOSED,,2026-03-15T03:10:20Z,[CI] Add history-based benchmark rotation for nightly runs,191,3,3,https://github.com/tile-ai/TileOPs/pull/514
488,MERGED,2026-03-14T04:09:06Z,2026-03-13T12:43:34Z,"[CI] fix nightly reliability: timeout, cascade failure, and add full op_test job",105,6,1,https://github.com/tile-ai/TileOPs/pull/488
476,MERGED,2026-03-15T11:12:33Z,2026-03-13T05:43:45Z,[BugFix][Linear-Attn] Cleanup dead kernels and add custom_op wrappers,1424,1096,14,https://github.com/tile-ai/TileOPs/pull/476
461,MERGED,2026-03-12T06:56:58Z,2026-03-12T06:00:40Z,[Fix][Linear-Attn] Add FP32 decode kernel to fix TF32 truncation in multi-step decode,216,4,4,https://github.com/tile-ai/TileOPs/pull/461
454,MERGED,2026-03-11T11:36:40Z,2026-03-11T08:23:08Z,"[Perf][Linear-Attn] Optimize Gated DeltaNet fwd, bwd and add decode kernel",1116,554,15,https://github.com/tile-ai/TileOPs/pull/454
414,MERGED,2026-03-10T04:06:24Z,2026-03-10T01:52:55Z,[Feat][Engram] Add Engram module operators: GateConv fwd/bwd + fused decode,2057,0,13,https://github.com/tile-ai/TileOPs/pull/414
378,MERGED,2026-03-07T12:09:51Z,2026-03-06T06:55:46Z,[Perf][FFT] Add radix-8 butterfly fusion for fft_c2c_lut,223,11,1,https://github.com/tile-ai/TileOPs/pull/378
366,MERGED,2026-03-08T08:39:45Z,2026-03-06T04:10:58Z,[Feat][Linear-Attn] Add Gated DeltaNet forward and backward operators,2342,0,12,https://github.com/tile-ai/TileOPs/pull/366
343,MERGED,2026-03-05T08:08:14Z,2026-03-05T04:16:35Z,[Refactor][Skill] Extract TileLang facts and case studies from skills to wiki KB,117,430,3,https://github.com/tile-ai/TileOPs/pull/343
311,MERGED,2026-03-04T10:19:09Z,2026-03-04T08:07:06Z,[Chore][Skill] add check-kernel-format skill and kernel-op-conventions doc,217,0,3,https://github.com/tile-ai/TileOPs/pull/311
306,MERGED,2026-03-04T08:33:00Z,2026-03-04T02:49:23Z,"[Feat][FFT_C2C] add 1D C2C FFT kernels (fft_c2c, fft_c2c_lut) with SMEM fusion and twiddle LUT",1076,43,9,https://github.com/tile-ai/TileOPs/pull/306
244,MERGED,2026-02-28T09:34:41Z,2026-02-28T07:50:31Z,"[Perf][GEMV] Fix coalescing, add cp.async pipeline, expand test coverage",790,28,6,https://github.com/tile-ai/TileOPs/pull/244
243,CLOSED,,2026-02-28T07:37:08Z,"[PERF][GEMV] Fix coalescing, add cp.async pipeline, expand test coverage",790,28,6,https://github.com/tile-ai/TileOPs/pull/243
237,MERGED,2026-02-28T04:32:48Z,2026-02-28T03:37:54Z,[Docs][Tooling] Add creating-issue skill for Claude Code,99,0,1,https://github.com/tile-ai/TileOPs/pull/237
227,CLOSED,,2026-02-27T05:47:55Z,[Chore][CI] Add commit-msg hook and commit skill to enforce message convention,236,5,5,https://github.com/tile-ai/TileOPs/pull/227
214,CLOSED,,2026-02-26T10:26:44Z,[Feat][GLA] Add GLA (Gated Linear Attention) Forward Operator (L2),1630,48,9,https://github.com/tile-ai/TileOPs/pull/214
172,MERGED,2026-02-25T08:40:19Z,2026-02-09T05:41:37Z,[BugFix][mHC] Address numerical instability in the mHC kernel,33,82,6,https://github.com/tile-ai/TileOPs/pull/172
165,MERGED,2026-02-06T03:51:25Z,2026-02-04T08:05:21Z,[Feat] Implement paged KV cache in flash-decoding kernels,1622,1,13,https://github.com/tile-ai/TileOPs/pull/165
161,MERGED,2026-01-28T13:10:46Z,2026-01-28T04:07:21Z,[Feat][mHC] Implement mHC kernels,883,2,11,https://github.com/tile-ai/TileOPs/pull/161
101,MERGED,2026-01-14T08:54:05Z,2026-01-07T09:32:30Z,[BugFix] Support varying length and assigning data type in MHA_decode and GQA_decode kernels,202,81,6,https://github.com/tile-ai/TileOPs/pull/101
95,CLOSED,,2026-01-07T07:46:58Z,Add files via upload,852,741,2,https://github.com/tile-ai/TileOPs/pull/95
